股票编号,日期,流动资产,速动资产,流动负债
00032,2017-12,67.54,368600.0,34500.0
00032,2017-06,70.74,314700.0,31300.0
00032,2016-12,62.53,291200.0,32900.0
00032,2016-06,72.73,236300.0,27300.0
00032,2015-12,82.44,210600.0,24300.0
00032,2015-06,81.07,188000.0,21700.0
00033,2018-12,331.73,26100.0,15500.0
00033,2018-06,2577.44,26500.0,15200.0
00033,2017-12,2663.21,33000.0,14000.0
00033,2017-06,735.56,39600.0,11900.0
00033,2016-12,686.27,49700.0,12700.0
00033,2016-06,793.82,52100.0,1347.99
00033,2015-12,2591.34,26900.0,4304.6
00033,2015-06,721.81,36000.0,9526.88
00034,2018-12,1830100.0,2272500.0,1240600.0
00034,2018-06,1411200.0,1773800.0,1224700.0
00034,2017-12,1312700.0,1633400.0,1092500.0
00034,2017-06,1100300.0,1338800.0,983700.0
00034,2016-12,1080900.0,1322900.0,780300.0
00034,2016-06,1241700.0,1509400.0,762600.0
00034,2015-12,1363400.0,1595700.0,760100.0
00034,2015-06,1334700.0,1470800.0000000002,497500.0
00035,2018-09,1106600.0,1829500.0,745200.0
00035,2018-03,901500.0,1657100.0,823900.0
00035,2017-09,848900.0,1460500.0,767700.0
00035,2017-03,814800.0,1410800.0000000002,548700.0
00035,2016-09,736400.0,1289800.0,482700.00000000006
00035,2016-03,720699.9999999999,1141600.0,539200.0
00035,2015-09,438700.0,852500.0,476300.0
00035,2015-03,432600.0,806700.0,483400.00000000006
00036,2018-12,131.96,53500.0,313.33
00036,2018-06,243.99,60100.0,347.36
00036,2017-12,163.42,62300.00000000001,332.69
00036,2017-06,164.73,55400.0,329.46
00036,2016-12,177.47,66900.0,346.62
00036,2016-06,224.86,58099.99999999999,280.84
00036,2015-12,228.63,68200.0,311.82
00036,2015-06,311.5,63000.0,890.34
00037,2018-09,42.18,6933.04,2574.18
00037,2018-03,36.04,6988.98,2430.1
00037,2017-09,40.29,7244.19,2904.08
00037,2017-03,40.34,6981.25,2664.2
00037,2016-09,41.69,8402.91,2412.97
00037,2016-03,39.93,8306.3,2720.94
00037,2015-09,42.92,8025.89,1875.84
00037,2015-03,39.2,2296.71,2809.5
00038,2018-12,143000.0,753199.9999999999,718300.0
00038,2018-09,158200.0,837600.0,737600.0
00038,2018-06,135500.0,789500.0,664599.9999999999
00038,2018-03,138000.0,824900.0,758600.0
00038,2017-12,116800.0,841700.0,774800.0
00038,2017-09,123699.99999999999,861200.0,789700.0
00038,2017-06,110300.0,695400.0000000001,688600.0
00038,2017-03,154100.0,814400.0,734800.0
00039,2018-12,5009.15,117500.0,86600.0
00039,2018-06,2742.44,93900.0,61600.0
00039,2017-12,1467.94,107800.0,74500.0
00039,2017-06,1700.43,81400.0,50199.99999999999
00039,2016-12,2081.79,47200.0,31700.0
00039,2016-06,4914.27,44500.0,19200.0
00039,2015-12,2402.42,57699.99999999999,15200.0
00039,2015-06,3025.34,41800.0,12500.0
00040,2018-09,95200.0,358600.0,312700.0
00040,2018-03,87400.0,291000.0,295800.0
00040,2017-09,88100.0,297000.0,293100.0
00040,2017-03,75300.0,275500.0,247200.0
00040,2016-09,75000.0,252300.0,233800.0
00040,2016-03,75300.0,244100.0,205900.0
00040,2015-09,71500.0,249300.0,206900.0
00040,2015-03,62500.0,214200.00000000003,187800.0
00041,2018-12,423300.0,1459700.0,809599.9999999999
00041,2018-06,392600.0,1250600.0,817900.0000000001
00041,2017-12,391100.0,1206700.0,487000.0
00041,2017-06,360400.0,1207900.0,408400.00000000006
00041,2016-12,334900.0,1065900.0,572700.0
00041,2016-06,290000.0,1205900.0,574700.0
00041,2015-12,274700.0,953400.0,1131400.0
00041,2015-06,215000.0,1027800.0,1187700.0
00042,2018-12,958.83,18300.0,40000.0
00042,2018-09,1015.67,18400.0,36300.0
00042,2018-06,765.53,17500.0,38200.0
