00009,2018-12,2018-09,0.325,0.325,0.26,0.26,-0.07,7.43,2018-12,0.26,0.29,0.236,0.25,0.01,3.56,-0.095,-432.7825,113900.0,34700.0,86700.0,0.0,0.0
00010,2015-06,2015-03,31.5635,33.7034,29.8694,31.5189,0.15,6.09,2015-06,31.8756,37.9765,30.4627,30.9153,-1.15,3.57,1.0331,68.0564,3289200.0,2977300.0,1387800.0,2.37,2.15
00010,2015-12,2015-09,31.5943,33.088,23.5176,23.9733,-7.11,6.25,2015-12,24.3835,26.7991,21.968,22.9706,-1.03,5.35,1.9855,62.8778,3058200.0,2735500.0,1220600.0,2.51,2.24
00010,2016-06,2016-03,22.9706,22.9706,17.7384,20.2816,-2.67,10.46,2016-06,20.4184,22.451,18.756,21.7494,1.44,6.06,1.1282,50.2421,2941500.0,2670900.0,960900.0,3.06,2.78
00010,2016-12,2016-09,21.3285,29.137,21.2349,27.772,6.02,5.25,2016-12,28.0544,30.455,24.6182,25.4184,-2.33,15.09,2.442,50.5935,2760100.0,2547700.0,743400.0,3.71,3.43
00010,2017-06,2017-03,25.183,33.7971,25.183,31.2082,5.82,5.11,2017-06,32.7144,33.0054,29.3114,30.9905,-0.22,3.36,1.5275,64.7794,2264300.0,2102300.0,904700.0,2.5,2.32
00010,2017-12,2017-09,30.9905,31.1824,26.56,27.0912,-3.91,3.07,2017-12,27.4292,28.2502,25.2079,27.7673,0.65,3.71,3.26,79.3103,1903400.0,1766800.0,895900.0,2.12,1.97
00010,2018-06,2018-03,27.8156,30.4233,24.7249,24.7732,-3.0,4.11,2018-06,24.2903,25.5666,21.5037,21.801,-2.97,6.3,1.8801,97.7827,1525200.0,1416900.0,1006100.0,1.52,1.41
00010,2018-12,2018-09,21.801,23.0892,19.5,20.8,-1.01,5.38,2018-12,20.8,22.15,19.12,19.94,-0.86,6.98,3.3997,92.8208,1338899.9999999998,1123099.9999999998,909200.0,1.47,1.24
00012,2015-06,2015-03,33.0949,34.6709,30.3673,33.004,0.1,6.76,2015-06,33.3071,39.6412,33.0646,35.8008,2.33,6.78,2.3501,91.923,8445900.0,2183100.0,2435400.0,3.47,0.9
00012,2015-12,2015-09,37.4204,37.4204,30.2333,31.3677,-4.7,7.44,2015-12,31.9801,35.1101,31.2316,32.3203,0.96,4.58,5.4121,92.5257,9153500.0,2320900.0,2706400.0,3.38,0.86
00012,2016-06,2016-03,32.1162,33.5791,25.448,32.4224,0.08,9.5,2016-06,32.6605,34.6678,29.6667,33.3313,0.93,5.46,2.0256,89.8303,9697000.0,2869500.0,3398800.0,2.85,0.84
00012,2016-12,2016-09,33.4078,37.235,32.6807,35.5355,2.21,4.86,2016-12,36.0376,36.3466,31.0936,31.8661,-3.67,4.06,5.3939,86.7725,10553100.0,3822600.0,3798200.0,2.62,0.91
00012,2017-06,2017-03,31.8661,38.0848,31.6729,37.1964,5.33,3.9,2017-06,37.235,40.8599,37.1191,37.8204,0.61,4.58,3.0724,112.3422,10270200.0,3814200.0,4074800.0,2.52,0.94
00012,2017-12,2017-09,38.0375,49.0721,37.2993,45.3884,7.54,6.45,2017-12,45.3884,49.116,41.8363,45.1692,-0.23,5.75,6.3613,126.0418,10175200.0,4022700.0,4179400.0,2.4,0.92
00012,2018-06,2018-03,45.2569,49.0721,42.9765,44.8184,-0.39,5.41,2018-06,44.5552,47.4182,40.7006,40.997,-3.84,5.32,2.8834,115.5988,11341000.0,3350299.999999999,4373200.0,2.59,0.77
00012,2018-12,2018-09,40.7006,43.6149,38.3,39.35,-1.64,4.15,2018-12,38.9,41.2,36.15,39.0,-0.35,4.29,6.2035,142.7168,11756800.0,3242200.0,5460000.0,2.15,0.59
00015,2015-09,2015-06,0.4386,0.8084,0.43,0.6106,0.15,19.02,2015-09,0.6192,0.6192,0.4257,0.4902,-0.16,4.38,0.1636,20.1849,170300.0,122300.0,135800.0,1.25,1.25
00015,2016-03,2015-12,0.4808,0.5939,0.4714,0.5374,0.05,2.34,2016-03,0.5374,0.5656,0.4619,0.5656,0.03,1.0,0.3685,31.9662,230000.0,139200.0,120000.0,1.92,1.16
00015,2016-09,2016-06,0.5656,0.6222,0.5374,0.5845,0.02,2.33,2016-09,0.5845,1.5306,0.5845,1.3584,0.81,24.52,0.0284,5.7063,234899.99999999997,137099.99999999997,191500.0,1.23,0.72
00015,2017-03,2016-12,1.3392,1.454,0.9853,1.0044,-0.36,6.76,2017-03,1.014,1.2436,0.8131,0.9375,-0.08,5.75,0.0716,6.5978,291800.0,187400.0,199300.0,1.46,0.94
